mean_distance,std_distance,range_distance,rate_of_change,presence_duration,label
39.1,10.034440691936945,29,12.0,2.0,active
45.2,12.023310692151309,33,9.555555555555555,2.0,active
54.0,1.5491933384829668,5,1.4444444444444444,2.0,active
53.5,1.5652475842498528,4,1.4444444444444444,2.0,active
54.3,2.238302928559939,7,2.7777777777777777,2.0,active
56.4,1.9595917942265422,6,2.4444444444444446,2.0,active
57.4,2.2891046284519194,7,1.5555555555555556,2.0,active
57.6,2.33238075793812,7,2.111111111111111,2.0,active
54.6,5.834380858325929,22,3.7777777777777777,2.0,active
50.3,7.975587752636166,24,7.111111111111111,2.0,active
45.3,10.705606008068855,30,7.333333333333333,2.0,active
48.5,11.218288639538564,37,10.0,2.0,active
53.9,5.412023651093923,18,7.444444444444445,2.0,active
51.2,9.008884503644166,29,8.777777777777779,2.0,active
53.1,8.960468737739115,29,5.777777777777778,2.0,active
54.0,3.255764119219941,13,2.6666666666666665,2.0,active
50.2,3.0265491900843116,9,2.2222222222222223,2.0,active
50.6,3.2310988842807027,10,2.111111111111111,2.0,active
48.7,4.539823785126467,12,2.111111111111111,2.0,active
45.3,3.0675723300355937,10,2.0,2.0,active
44.1,3.477067730142742,11,1.8888888888888888,2.0,active
44.9,4.90815647672321,16,4.666666666666667,2.0,active
50.9,5.430469592954186,19,4.777777777777778,2.0,active
54.9,1.7,6,1.8888888888888888,2.0,active
51.7,10.315522284402277,36,9.333333333333334,2.0,active
50.2,9.836666101886351,35,8.777777777777779,2.0,active
48.0,11.593101396951552,38,8.222222222222221,2.0,active
44.5,12.7455874717488,38,15.444444444444445,2.0,active
55.1,23.99770822391172,85,21.666666666666668,2.0,active
50.8,27.863237428554495,103,28.555555555555557,2.0,active
31.2,16.454786537661313,40,11.444444444444445,2.0,active
32.3,16.917742166140254,36,20.11111111111111,2.0,active
42.5,16.268066879626478,37,24.0,2.0,active
50.5,11.244998888394788,40,8.88888888888889,2.0,active
51.6,11.253443917308159,39,9.222222222222221,2.0,active
48.6,15.583324420674812,42,17.88888888888889,2.0,active
47.6,15.41557653803451,42,18.0,2.0,active
42.8,16.4851448279959,38,20.555555555555557,2.0,active
42.6,16.347476869535555,38,20.444444444444443,2.0,active
49.5,10.846658471621572,37,8.555555555555555,2.0,active
53.0,0.4472135954999579,2,0.4444444444444444,2.0,active
52.9,0.3,1,0.2222222222222222,2.0,active
45.9,14.208800090085019,37,12.11111111111111,2.0,active
35.9,17.941293152947477,39,28.88888888888889,2.0,active
43.3,16.377118183612158,39,16.666666666666668,2.0,active
53.7,1.1874342087037917,4,1.1111111111111112,2.0,active
53.7,1.268857754044952,4,1.3333333333333333,2.0,active
53.6,0.66332495807108,2,0.5555555555555556,2.0,active
53.3,0.45825756949558394,1,0.2222222222222222,2.0,active
52.9,0.3,1,0.1111111111111111,2.0,active
52.9,0.3,1,0.2222222222222222,2.0,active
54.0,1.3416407864998738,3,0.3333333333333333,2.0,active
56.9,2.5079872407968904,8,1.0,2.0,active
